workflow_name,month,count,minutes,deploy_runs_in_month
.github/workflows/cleanup-old-project.yml,2026-07,2,0.0,
CI,2026-07,432,722.6,
Cleanup OLD project (propulse-business-87f7a) — strategic360 resources ONLY,2026-07,3,8.4,
Cleanup sample data (propulse-business-87f7a / strategic360),2026-07,1,2.0,
Deploy (propulse-business-87f7a / strategic360),2026-07,144,694.1,203
Deploy (sentinel-360 / strategic360),2026-07,59,352.0,203
Grant public invoker to new Copilote callables (fix),2026-07,1,0.5,
Inspect internal data (propulse-business-87f7a — READ ONLY),2026-07,9,19.2,
Inspect internal data (sentinel-360 — READ ONLY),2026-07,36,69.6,
Read AI function logs (diagnostic),2026-07,1,0.3,
Read Copilote function logs (diagnostic),2026-07,3,0.8,
Rescore intelItems (propulse-business-87f7a / strategic360),2026-07,2,4.3,
Reset profil -> Neurones (propulse-business-87f7a / strategic360),2026-07,3,5.7,
Run aiHealthCheck now (sentinel-360 / strategic360),2026-07,1,0.8,
Run enrichStrategicArtifacts now (propulse-business-87f7a / strategic360),2026-07,16,21.9,
Run enrichStrategicArtifacts now (sentinel-360 / strategic360),2026-07,1,1.3,
Run generateBriefingWeekly now (propulse-business-87f7a / strategic360),2026-07,2,2.5,
Run generateBriefingWeekly now (sentinel-360 / strategic360),2026-07,1,1.1,
Run syncCopiloteAccounts now (propulse-business-87f7a / strategic360),2026-07,4,3.6,
Run syncCopiloteAccounts now (sentinel-360 / strategic360),2026-07,2,1.6,
Run syncInternalQuanti now (propulse-business-87f7a / strategic360),2026-07,2,2.0,
Run syncInternalQuanti now (sentinel-360 / strategic360),2026-07,3,3.0,
Run syncSources now (propulse-business-87f7a / strategic360),2026-07,19,15.0,
Run syncSources now (sentinel-360 / strategic360),2026-07,31,24.2,
Seed data (propulse-business-87f7a / strategic360),2026-07,9,20.3,
Seed data (sentinel-360 / strategic360),2026-07,18,38.3,
Set user role (propulse-business-87f7a / strategic360),2026-07,5,9.7,
Set user role (sentinel-360 / strategic360),2026-07,1,2.0,
